candidate_kind,source_rail_id,target_rail_id,reason,evidence,admitted_as_channel
support_overlap_handle,slot_00_internal_carrier,slot_pair_00_05_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_00_internal_carrier,slot_pair_00_06_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_01_internal_carrier,slot_pair_00_01_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_01_internal_carrier,slot_pair_01_02_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_01_internal_carrier,slot_pair_01_06_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_01_internal_carrier,slot_pair_01_07_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_02_internal_carrier,slot_pair_01_02_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_02_internal_carrier,slot_pair_02_03_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_02_internal_carrier,slot_pair_02_07_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_02_internal_carrier,slot_pair_02_08_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_03_internal_carrier,slot_pair_02_03_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_03_internal_carrier,slot_pair_03_04_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_03_internal_carrier,slot_pair_03_08_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_03_internal_carrier,slot_pair_03_09_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_04_internal_carrier,slot_pair_00_04_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_04_internal_carrier,slot_pair_03_04_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_04_internal_carrier,slot_pair_04_05_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
support_overlap_handle,slot_04_internal_carrier,slot_pair_04_09_boundary_carrier,carrier supports overlap in exported support ids,vertex_overlap=60 edge_overlap=0,False
