candidate_index,A,B,C,D,E,role_pairs,anchors,q_edge_ids,q_sources,q_targets,known_return_cell_slots,known_return_cell_edges
26496,1,2,7,11,10,01_02 02_07 11_07 11_10,23 24 23 24,tuple_edge_73 tuple_edge_419 tuple_edge_1759 tuple_edge_2586,1:53 2:54 11:23 11:24,2:23 7:24 7:23 10:24,false,false
26497,1,2,7,11,12,01_02 02_07 11_07 11_12,23 24 23 24,tuple_edge_73 tuple_edge_419 tuple_edge_1759 tuple_edge_2945,1:53 2:54 11:23 11:54,2:23 7:24 7:23 12:24,false,false
26545,1,2,8,3,4,01_02 02_08 03_08 03_04,23 24 23 24,tuple_edge_73 tuple_edge_420 tuple_edge_763 tuple_edge_612,1:53 2:54 3:53 3:24,2:23 8:24 8:23 4:24,false,false
26549,1,2,8,3,9,01_02 02_08 03_08 03_09,23 24 23 24,tuple_edge_73 tuple_edge_420 tuple_edge_763 tuple_edge_614,1:53 2:54 3:53 3:24,2:23 8:24 8:23 9:24,false,false
26647,1,2,8,13,6,01_02 02_08 13_08 13_06,23 24 23 24,tuple_edge_73 tuple_edge_420 tuple_edge_2038 tuple_edge_1475,1:53 2:54 13:23 13:24,2:23 8:24 8:23 6:24,false,false
26652,1,2,8,13,12,01_02 02_08 13_08 13_12,23 24 23 24,tuple_edge_73 tuple_edge_420 tuple_edge_2038 tuple_edge_3071,1:53 2:54 13:23 13:24,2:23 8:24 8:23 12:24,false,false
26653,1,2,8,13,14,01_02 02_08 13_08 13_14,23 24 23 24,tuple_edge_73 tuple_edge_420 tuple_edge_2038 tuple_edge_3292,1:53 2:54 13:23 13:24,2:23 8:24 8:23 14:24,false,false
26657,1,2,8,14,5,01_02 02_08 14_08 14_05,23 24 23 24,tuple_edge_73 tuple_edge_420 tuple_edge_2039 tuple_edge_1205,1:53 2:54 14:23 14:24,2:23 8:24 8:23 5:24,false,false
26661,1,2,8,14,10,01_02 02_08 14_08 14_10,23 24 23 24,tuple_edge_73 tuple_edge_420 tuple_edge_2039 tuple_edge_2587,1:53 2:54 14:23 14:24,2:23 8:24 8:23 10:24,false,false
26664,1,2,8,14,13,01_02 02_08 14_08 14_13,23 24 23 24,tuple_edge_73 tuple_edge_420 tuple_edge_2039 tuple_edge_3292,1:53 2:54 14:23 14:24,2:23 8:24 8:23 13:24,false,false
32628,1,6,0,4,3,01_06 06_00 04_00 04_03,23 24 23 24,tuple_edge_74 tuple_edge_851 tuple_edge_785 tuple_edge_612,1:53 6:54 4:53 4:24,6:23 0:24 0:23 3:24,false,false
32629,1,6,0,4,5,01_06 06_00 04_00 04_05,23 24 23 24,tuple_edge_74 tuple_edge_851 tuple_edge_785 tuple_edge_1041,1:53 6:54 4:53 4:54,6:23 0:24 0:23 5:24,false,false
32632,1,6,0,4,9,01_06 06_00 04_00 04_09,23 24 23 24,tuple_edge_74 tuple_edge_851 tuple_edge_785 tuple_edge_922,1:53 6:54 4:53 4:24,6:23 0:24 0:23 9:24,false,false
32640,1,6,0,5,4,01_06 06_00 05_00 05_04,23 24 23 24,tuple_edge_74 tuple_edge_851 tuple_edge_786 tuple_edge_921,1:53 6:54 5:53 5:54,6:23 0:24 0:23 4:24,false,false
32644,1,6,0,5,10,01_06 06_00 05_00 05_10,23 24 23 24,tuple_edge_74 tuple_edge_851 tuple_edge_786 tuple_edge_1204,1:53 6:54 5:53 5:24,6:23 0:24 0:23 10:24,false,false
32648,1,6,0,5,14,01_06 06_00 05_00 05_14,23 24 23 24,tuple_edge_74 tuple_edge_851 tuple_edge_786 tuple_edge_1205,1:53 6:54 5:53 5:24,6:23 0:24 0:23 14:24,false,false
34004,1,6,12,9,3,01_06 06_12 09_12 09_03,23 24 23 24,tuple_edge_74 tuple_edge_1474 tuple_edge_2423 tuple_edge_614,1:53 6:24 9:53 9:24,6:23 12:24 12:23 3:24,false,false
34005,1,6,12,9,4,01_06 06_12 09_12 09_04,23 24 23 24,tuple_edge_74 tuple_edge_1474 tuple_edge_2423 tuple_edge_922,1:53 6:24 9:53 9:24,6:23 12:24 12:23 4:24,false,false
34010,1,6,12,9,11,01_06 06_12 09_12 09_11,23 24 23 24,tuple_edge_74 tuple_edge_1474 tuple_edge_2423 tuple_edge_2424,1:53 6:24 9:53 9:54,6:23 12:24 12:23 11:24,false,false
34029,1,6,12,11,7,01_06 06_12 11_12 11_07,23 24 23 24,tuple_edge_74 tuple_edge_1474 tuple_edge_2944 tuple_edge_1761,1:53 6:24 11:53 11:24,6:23 12:24 12:23 7:24,false,false
34031,1,6,12,11,9,01_06 06_12 11_12 11_09,23 24 23 24,tuple_edge_74 tuple_edge_1474 tuple_edge_2944 tuple_edge_2308,1:53 6:24 11:53 11:54,6:23 12:24 12:23 9:24,false,false
34032,1,6,12,11,10,01_06 06_12 11_12 11_10,23 24 23 24,tuple_edge_74 tuple_edge_1474 tuple_edge_2944 tuple_edge_2586,1:53 6:24 11:53 11:24,6:23 12:24 12:23 10:24,false,false
34041,1,6,12,13,8,01_06 06_12 13_12 13_08,23 24 23 24,tuple_edge_74 tuple_edge_1474 tuple_edge_3070 tuple_edge_2040,1:53 6:24 13:23 13:24,6:23 12:24 12:23 8:24,false,false
34045,1,6,12,13,14,01_06 06_12 13_12 13_14,23 24 23 24,tuple_edge_74 tuple_edge_1474 tuple_edge_3070 tuple_edge_3292,1:53 6:24 13:23 13:24,6:23 12:24 12:23 14:24,false,false
34124,1,6,13,8,2,01_06 06_13 08_13 08_02,23 24 23 24,tuple_edge_74 tuple_edge_1475 tuple_edge_2038 tuple_edge_267,1:53 6:24 8:23 8:54,6:23 13:24 13:23 2:24,false,false
34125,1,6,13,8,3,01_06 06_13 08_13 08_03,23 24 23 24,tuple_edge_74 tuple_edge_1475 tuple_edge_2038 tuple_edge_613,1:53 6:24 8:23 8:54,6:23 13:24 13:23 3:24,false,false
34133,1,6,13,8,14,01_06 06_13 08_13 08_14,23 24 23 24,tuple_edge_74 tuple_edge_1475 tuple_edge_2038 tuple_edge_2041,1:53 6:24 8:23 8:24,6:23 13:24 13:23 14:24,false,false
34174,1,6,13,12,9,01_06 06_13 12_13 12_09,23 24 23 24,tuple_edge_74 tuple_edge_1475 tuple_edge_3070 tuple_edge_2309,1:53 6:24 12:23 12:54,6:23 13:24 13:23 9:24,false,false
34176,1,6,13,12,11,01_06 06_13 12_13 12_11,23 24 23 24,tuple_edge_74 tuple_edge_1475 tuple_edge_3070 tuple_edge_2844,1:53 6:24 12:23 12:54,6:23 13:24 13:23 11:24,false,false
34182,1,6,13,14,5,01_06 06_13 14_13 14_05,23 24 23 24,tuple_edge_74 tuple_edge_1475 tuple_edge_3291 tuple_edge_1205,1:53 6:24 14:23 14:24,6:23 13:24 13:23 5:24,false,false
34184,1,6,13,14,8,01_06 06_13 14_13 14_08,23 24 23 24,tuple_edge_74 tuple_edge_1475 tuple_edge_3291 tuple_edge_2041,1:53 6:24 14:23 14:24,6:23 13:24 13:23 8:24,false,false
34186,1,6,13,14,10,01_06 06_13 14_13 14_10,23 24 23 24,tuple_edge_74 tuple_edge_1475 tuple_edge_3291 tuple_edge_2587,1:53 6:24 14:23 14:24,6:23 13:24 13:23 10:24,false,false
34465,1,7,2,3,4,01_07 07_02 03_02 03_04,23 24 23 24,tuple_edge_75 tuple_edge_266 tuple_edge_262 tuple_edge_612,1:53 7:54 3:53 3:24,7:23 2:24 2:23 4:24,false,false
34468,1,7,2,3,8,01_07 07_02 03_02 03_08,23 24 23 24,tuple_edge_75 tuple_edge_266 tuple_edge_262 tuple_edge_766,1:53 7:54 3:53 3:54,7:23 2:24 2:23 8:24,false,false
34469,1,7,2,3,9,01_07 07_02 03_02 03_09,23 24 23 24,tuple_edge_75 tuple_edge_266 tuple_edge_262 tuple_edge_614,1:53 7:54 3:53 3:24,7:23 2:24 2:23 9:24,false,false
34509,1,7,2,8,3,01_07 07_02 08_02 08_03,23 24 23 24,tuple_edge_75 tuple_edge_266 tuple_edge_264 tuple_edge_613,1:53 7:54 8:53 8:54,7:23 2:24 2:23 3:24,false,false
34517,1,7,2,8,13,01_07 07_02 08_02 08_13,23 24 23 24,tuple_edge_75 tuple_edge_266 tuple_edge_264 tuple_edge_2040,1:53 7:54 8:53 8:24,7:23 2:24 2:23 13:24,false,false
34518,1,7,2,8,14,01_07 07_02 08_02 08_14,23 24 23 24,tuple_edge_75 tuple_edge_266 tuple_edge_264 tuple_edge_2041,1:53 7:54 8:53 8:24,7:23 2:24 2:23 14:24,false,false
35421,1,7,10,5,0,01_07 07_10 05_10 05_00,23 24 23 24,tuple_edge_75 tuple_edge_1760 tuple_edge_1202 tuple_edge_850,1:53 7:24 5:23 5:54,7:23 10:24 10:23 0:24,false,false
35424,1,7,10,5,4,01_07 07_10 05_10 05_04,23 24 23 24,tuple_edge_75 tuple_edge_1760 tuple_edge_1202 tuple_edge_921,1:53 7:24 5:23 5:54,7:23 10:24 10:23 4:24,false,false
35431,1,7,10,5,14,01_07 07_10 05_10 05_14,23 24 23 24,tuple_edge_75 tuple_edge_1760 tuple_edge_1202 tuple_edge_1205,1:53 7:24 5:23 5:24,7:23 10:24 10:23 14:24,false,false
35472,1,7,10,11,9,01_07 07_10 11_10 11_09,23 24 23 24,tuple_edge_75 tuple_edge_1760 tuple_edge_2584 tuple_edge_2308,1:53 7:24 11:23 11:54,7:23 10:24 10:23 9:24,false,false
35473,1,7,10,11,12,01_07 07_10 11_10 11_12,23 24 23 24,tuple_edge_75 tuple_edge_1760 tuple_edge_2584 tuple_edge_2945,1:53 7:24 11:23 11:54,7:23 10:24 10:23 12:24,false,false
35502,1,7,10,14,5,01_07 07_10 14_10 14_05,23 24 23 24,tuple_edge_75 tuple_edge_1760 tuple_edge_2585 tuple_edge_1205,1:53 7:24 14:23 14:24,7:23 10:24 10:23 5:24,false,false
35504,1,7,10,14,8,01_07 07_10 14_10 14_08,23 24 23 24,tuple_edge_75 tuple_edge_1760 tuple_edge_2585 tuple_edge_2041,1:53 7:24 14:23 14:24,7:23 10:24 10:23 8:24,false,false
35508,1,7,10,14,13,01_07 07_10 14_10 14_13,23 24 23 24,tuple_edge_75 tuple_edge_1760 tuple_edge_2585 tuple_edge_3292,1:53 7:24 14:23 14:24,7:23 10:24 10:23 13:24,false,false
35588,1,7,11,9,3,01_07 07_11 09_11 09_03,23 24 23 24,tuple_edge_75 tuple_edge_1761 tuple_edge_2422 tuple_edge_614,1:53 7:24 9:53 9:24,7:23 11:24 11:23 3:24,false,false
35589,1,7,11,9,4,01_07 07_11 09_11 09_04,23 24 23 24,tuple_edge_75 tuple_edge_1761 tuple_edge_2422 tuple_edge_922,1:53 7:24 9:53 9:24,7:23 11:24 11:23 4:24,false,false
35594,1,7,11,9,12,01_07 07_11 09_11 09_12,23 24 23 24,tuple_edge_75 tuple_edge_1761 tuple_edge_2422 tuple_edge_2425,1:53 7:24 9:53 9:54,7:23 11:24 11:23 12:24,false,false
35601,1,7,11,10,5,01_07 07_11 10_11 10_05,23 24 23 24,tuple_edge_75 tuple_edge_1761 tuple_edge_2584 tuple_edge_1204,1:53 7:24 10:23 10:24,7:23 11:24 11:23 5:24,false,false
35607,1,7,11,10,14,01_07 07_11 10_11 10_14,23 24 23 24,tuple_edge_75 tuple_edge_1761 tuple_edge_2584 tuple_edge_2587,1:53 7:24 10:23 10:24,7:23 11:24 11:23 14:24,false,false
35613,1,7,11,12,6,01_07 07_11 12_11 12_06,23 24 23 24,tuple_edge_75 tuple_edge_1761 tuple_edge_2843 tuple_edge_1474,1:53 7:24 12:53 12:24,7:23 11:24 11:23 6:24,false,false
35615,1,7,11,12,9,01_07 07_11 12_11 12_09,23 24 23 24,tuple_edge_75 tuple_edge_1761 tuple_edge_2843 tuple_edge_2309,1:53 7:24 12:53 12:54,7:23 11:24 11:23 9:24,false,false
35617,1,7,11,12,13,01_07 07_11 12_11 12_13,23 24 23 24,tuple_edge_75 tuple_edge_1761 tuple_edge_2843 tuple_edge_3071,1:53 7:24 12:53 12:24,7:23 11:24 11:23 13:24,false,false
49776,2,1,0,4,3,02_01 01_00 04_00 04_03,23 24 23 24,tuple_edge_3388 tuple_edge_848 tuple_edge_785 tuple_edge_612,2:53 1:54 4:53 4:24,1:23 0:24 0:23 3:24,false,false
49777,2,1,0,4,5,02_01 01_00 04_00 04_05,23 24 23 24,tuple_edge_3388 tuple_edge_848 tuple_edge_785 tuple_edge_1041,2:53 1:54 4:53 4:54,1:23 0:24 0:23 5:24,false,false
49781,2,1,0,4,9,02_01 01_00 04_00 04_09,23 24 23 24,tuple_edge_3388 tuple_edge_848 tuple_edge_785 tuple_edge_922,2:53 1:54 4:53 4:24,1:23 0:24 0:23 9:24,false,false
49788,2,1,0,5,4,02_01 01_00 05_00 05_04,23 24 23 24,tuple_edge_3388 tuple_edge_848 tuple_edge_786 tuple_edge_921,2:53 1:54 5:53 5:54,1:23 0:24 0:23 4:24,false,false
49793,2,1,0,5,10,02_01 01_00 05_00 05_10,23 24 23 24,tuple_edge_3388 tuple_edge_848 tuple_edge_786 tuple_edge_1204,2:53 1:54 5:53 5:24,1:23 0:24 0:23 10:24,false,false
49797,2,1,0,5,14,02_01 01_00 05_00 05_14,23 24 23 24,tuple_edge_3388 tuple_edge_848 tuple_edge_786 tuple_edge_1205,2:53 1:54 5:53 5:24,1:23 0:24 0:23 14:24,false,false
49806,2,1,0,6,12,02_01 01_00 06_00 06_12,23 24 23 24,tuple_edge_3388 tuple_edge_848 tuple_edge_787 tuple_edge_1474,2:53 1:54 6:53 6:24,1:23 0:24 0:23 12:24,false,false
49807,2,1,0,6,13,02_01 01_00 06_00 06_13,23 24 23 24,tuple_edge_3388 tuple_edge_848 tuple_edge_787 tuple_edge_1475,2:53 1:54 6:53 6:24,1:23 0:24 0:23 13:24,false,false
50294,2,1,6,0,4,02_01 01_06 00_06 00_04,23 24 23 24,tuple_edge_3388 tuple_edge_77 tuple_edge_2173 tuple_edge_2236,2:53 1:54 0:53 0:54,1:23 6:24 6:23 4:24,false,false
50295,2,1,6,0,5,02_01 01_06 00_06 00_05,23 24 23 24,tuple_edge_3388 tuple_edge_77 tuple_edge_2173 tuple_edge_2237,2:53 1:54 0:53 0:54,1:23 6:24 6:23 5:24,false,false
50398,2,1,6,12,9,02_01 01_06 12_06 12_09,23 24 23 24,tuple_edge_3388 tuple_edge_77 tuple_edge_1472 tuple_edge_2309,2:53 1:54 12:23 12:54,1:23 6:24 6:23 9:24,false,false
50400,2,1,6,12,11,02_01 01_06 12_06 12_11,23 24 23 24,tuple_edge_3388 tuple_edge_77 tuple_edge_1472 tuple_edge_2844,2:53 1:54 12:23 12:54,1:23 6:24 6:23 11:24,false,false
50401,2,1,6,12,13,02_01 01_06 12_06 12_13,23 24 23 24,tuple_edge_3388 tuple_edge_77 tuple_edge_1472 tuple_edge_3071,2:53 1:54 12:23 12:24,1:23 6:24 6:23 13:24,false,false
50408,2,1,6,13,8,02_01 01_06 13_06 13_08,23 24 23 24,tuple_edge_3388 tuple_edge_77 tuple_edge_1473 tuple_edge_2040,2:53 1:54 13:23 13:24,1:23 6:24 6:23 8:24,false,false
50412,2,1,6,13,12,02_01 01_06 13_06 13_12,23 24 23 24,tuple_edge_3388 tuple_edge_77 tuple_edge_1473 tuple_edge_3071,2:53 1:54 13:23 13:24,1:23 6:24 6:23 12:24,false,false
50413,2,1,6,13,14,02_01 01_06 13_06 13_14,23 24 23 24,tuple_edge_3388 tuple_edge_77 tuple_edge_1473 tuple_edge_3292,2:53 1:54 13:23 13:24,1:23 6:24 6:23 14:24,false,false
50505,2,1,7,10,5,02_01 01_07 10_07 10_05,23 24 23 24,tuple_edge_3388 tuple_edge_78 tuple_edge_1758 tuple_edge_1204,2:53 1:54 10:23 10:24,1:23 7:24 7:23 5:24,false,false
50509,2,1,7,10,11,02_01 01_07 10_07 10_11,23 24 23 24,tuple_edge_3388 tuple_edge_78 tuple_edge_1758 tuple_edge_2586,2:53 1:54 10:23 10:24,1:23 7:24 7:23 11:24,false,false
50512,2,1,7,10,14,02_01 01_07 10_07 10_14,23 24 23 24,tuple_edge_3388 tuple_edge_78 tuple_edge_1758 tuple_edge_2587,2:53 1:54 10:23 10:24,1:23 7:24 7:23 14:24,false,false
50519,2,1,7,11,9,02_01 01_07 11_07 11_09,23 24 23 24,tuple_edge_3388 tuple_edge_78 tuple_edge_1759 tuple_edge_2308,2:53 1:54 11:23 11:54,1:23 7:24 7:23 9:24,false,false
50520,2,1,7,11,10,02_01 01_07 11_07 11_10,23 24 23 24,tuple_edge_3388 tuple_edge_78 tuple_edge_1759 tuple_edge_2586,2:53 1:54 11:23 11:24,1:23 7:24 7:23 10:24,false,false
50521,2,1,7,11,12,02_01 01_07 11_07 11_12,23 24 23 24,tuple_edge_3388 tuple_edge_78 tuple_edge_1759 tuple_edge_2945,2:53 1:54 11:23 11:54,1:23 7:24 7:23 12:24,false,false
51745,2,3,4,0,1,02_03 03_04 00_04 00_01,23 24 23 24,tuple_edge_415 tuple_edge_612 tuple_edge_2171 tuple_edge_2239,2:53 3:24 0:53 0:54,3:23 4:24 4:23 1:24,false,false
51746,2,3,4,0,5,02_03 03_04 00_04 00_05,23 24 23 24,tuple_edge_415 tuple_edge_612 tuple_edge_2171 tuple_edge_2237,2:53 3:24 0:53 0:54,3:23 4:24 4:23 5:24,false,false
51747,2,3,4,0,6,02_03 03_04 00_04 00_06,23 24 23 24,tuple_edge_415 tuple_edge_612 tuple_edge_2171 tuple_edge_2238,2:53 3:24 0:53 0:54,3:23 4:24 4:23 6:24,false,false
51767,2,3,4,5,0,02_03 03_04 05_04 05_00,23 24 23 24,tuple_edge_415 tuple_edge_612 tuple_edge_919 tuple_edge_850,2:53 3:24 5:53 5:54,3:23 4:24 4:23 0:24,false,false
51773,2,3,4,5,10,02_03 03_04 05_04 05_10,23 24 23 24,tuple_edge_415 tuple_edge_612 tuple_edge_919 tuple_edge_1204,2:53 3:24 5:53 5:24,3:23 4:24 4:23 10:24,false,false
51777,2,3,4,5,14,02_03 03_04 05_04 05_14,23 24 23 24,tuple_edge_415 tuple_edge_612 tuple_edge_919 tuple_edge_1205,2:53 3:24 5:53 5:24,3:23 4:24 4:23 14:24,false,false
51818,2,3,4,9,11,02_03 03_04 09_04 09_11,23 24 23 24,tuple_edge_415 tuple_edge_612 tuple_edge_920 tuple_edge_2424,2:53 3:24 9:23 9:54,3:23 4:24 4:23 11:24,false,false
51819,2,3,4,9,12,02_03 03_04 09_04 09_12,23 24 23 24,tuple_edge_415 tuple_edge_612 tuple_edge_920 tuple_edge_2425,2:53 3:24 9:23 9:54,3:23 4:24 4:23 12:24,false,false
52387,2,3,8,13,6,02_03 03_08 13_08 13_06,23 24 23 24,tuple_edge_415 tuple_edge_766 tuple_edge_2038 tuple_edge_1475,2:53 3:54 13:23 13:24,3:23 8:24 8:23 6:24,false,false
52392,2,3,8,13,12,02_03 03_08 13_08 13_12,23 24 23 24,tuple_edge_415 tuple_edge_766 tuple_edge_2038 tuple_edge_3071,2:53 3:54 13:23 13:24,3:23 8:24 8:23 12:24,false,false
52393,2,3,8,13,14,02_03 03_08 13_08 13_14,23 24 23 24,tuple_edge_415 tuple_edge_766 tuple_edge_2038 tuple_edge_3292,2:53 3:54 13:23 13:24,3:23 8:24 8:23 14:24,false,false
52397,2,3,8,14,5,02_03 03_08 14_08 14_05,23 24 23 24,tuple_edge_415 tuple_edge_766 tuple_edge_2039 tuple_edge_1205,2:53 3:54 14:23 14:24,3:23 8:24 8:23 5:24,false,false
52401,2,3,8,14,10,02_03 03_08 14_08 14_10,23 24 23 24,tuple_edge_415 tuple_edge_766 tuple_edge_2039 tuple_edge_2587,2:53 3:54 14:23 14:24,3:23 8:24 8:23 10:24,false,false
52404,2,3,8,14,13,02_03 03_08 14_08 14_13,23 24 23 24,tuple_edge_415 tuple_edge_766 tuple_edge_2039 tuple_edge_3292,2:53 3:54 14:23 14:24,3:23 8:24 8:23 13:24,false,false
52427,2,3,9,4,0,02_03 03_09 04_09 04_00,23 24 23 24,tuple_edge_415 tuple_edge_614 tuple_edge_920 tuple_edge_849,2:53 3:24 4:23 4:54,3:23 9:24 9:23 0:24,false,false
52429,2,3,9,4,5,02_03 03_09 04_09 04_05,23 24 23 24,tuple_edge_415 tuple_edge_614 tuple_edge_920 tuple_edge_1041,2:53 3:24 4:23 4:54,3:23 9:24 9:23 5:24,false,false
52498,2,3,9,11,7,02_03 03_09 11_09 11_07,23 24 23 24,tuple_edge_415 tuple_edge_614 tuple_edge_2306 tuple_edge_1761,2:53 3:24 11:53 11:24,3:23 9:24 9:23 7:24,false,false
52500,2,3,9,11,10,02_03 03_09 11_09 11_10,23 24 23 24,tuple_edge_415 tuple_edge_614 tuple_edge_2306 tuple_edge_2586,2:53 3:24 11:53 11:24,3:23 9:24 9:23 10:24,false,false
52501,2,3,9,11,12,02_03 03_09 11_09 11_12,23 24 23 24,tuple_edge_415 tuple_edge_614 tuple_edge_2306 tuple_edge_2945,2:53 3:24 11:53 11:54,3:23 9:24 9:23 12:24,false,false
52508,2,3,9,12,6,02_03 03_09 12_09 12_06,23 24 23 24,tuple_edge_415 tuple_edge_614 tuple_edge_2307 tuple_edge_1474,2:53 3:24 12:53 12:24,3:23 9:24 9:23 6:24,false,false
52512,2,3,9,12,11,02_03 03_09 12_09 12_11,23 24 23 24,tuple_edge_415 tuple_edge_614 tuple_edge_2307 tuple_edge_2844,2:53 3:24 12:53 12:54,3:23 9:24 9:23 11:24,false,false
52513,2,3,9,12,13,02_03 03_09 12_09 12_13,23 24 23 24,tuple_edge_415 tuple_edge_614 tuple_edge_2307 tuple_edge_3071,2:53 3:24 12:53 12:24,3:23 9:24 9:23 13:24,false,false
58478,2,7,1,0,4,02_07 07_01 00_01 00_04,23 24 23 24,tuple_edge_416 tuple_edge_3434 tuple_edge_2175 tuple_edge_2236,2:53 7:54 0:53 0:54,7:23 1:24 1:23 4:24,false,false
58479,2,7,1,0,5,02_07 07_01 00_01 00_05,23 24 23 24,tuple_edge_416 tuple_edge_3434 tuple_edge_2175 tuple_edge_2237,2:53 7:54 0:53 0:54,7:23 1:24 1:23 5:24,false,false
58480,2,7,1,0,6,02_07 07_01 00_01 00_06,23 24 23 24,tuple_edge_416 tuple_edge_3434 tuple_edge_2175 tuple_edge_2238,2:53 7:54 0:53 0:54,7:23 1:24 1:23 6:24,false,false
58521,2,7,1,6,0,02_07 07_01 06_01 06_00,23 24 23 24,tuple_edge_416 tuple_edge_3434 tuple_edge_3389 tuple_edge_851,2:53 7:54 6:53 6:54,7:23 1:24 1:23 0:24,false,false
58529,2,7,1,6,12,02_07 07_01 06_01 06_12,23 24 23 24,tuple_edge_416 tuple_edge_3434 tuple_edge_3389 tuple_edge_1474,2:53 7:54 6:53 6:24,7:23 1:24 1:23 12:24,false,false
58530,2,7,1,6,13,02_07 07_01 06_01 06_13,23 24 23 24,tuple_edge_416 tuple_edge_3434 tuple_edge_3389 tuple_edge_1475,2:53 7:54 6:53 6:24,7:23 1:24 1:23 13:24,false,false
59445,2,7,10,5,0,02_07 07_10 05_10 05_00,23 24 23 24,tuple_edge_416 tuple_edge_1760 tuple_edge_1202 tuple_edge_850,2:53 7:24 5:23 5:54,7:23 10:24 10:23 0:24,false,false
59448,2,7,10,5,4,02_07 07_10 05_10 05_04,23 24 23 24,tuple_edge_416 tuple_edge_1760 tuple_edge_1202 tuple_edge_921,2:53 7:24 5:23 5:54,7:23 10:24 10:23 4:24,false,false
59455,2,7,10,5,14,02_07 07_10 05_10 05_14,23 24 23 24,tuple_edge_416 tuple_edge_1760 tuple_edge_1202 tuple_edge_1205,2:53 7:24 5:23 5:24,7:23 10:24 10:23 14:24,false,false
59496,2,7,10,11,9,02_07 07_10 11_10 11_09,23 24 23 24,tuple_edge_416 tuple_edge_1760 tuple_edge_2584 tuple_edge_2308,2:53 7:24 11:23 11:54,7:23 10:24 10:23 9:24,false,false
59497,2,7,10,11,12,02_07 07_10 11_10 11_12,23 24 23 24,tuple_edge_416 tuple_edge_1760 tuple_edge_2584 tuple_edge_2945,2:53 7:24 11:23 11:54,7:23 10:24 10:23 12:24,false,false
59526,2,7,10,14,5,02_07 07_10 14_10 14_05,23 24 23 24,tuple_edge_416 tuple_edge_1760 tuple_edge_2585 tuple_edge_1205,2:53 7:24 14:23 14:24,7:23 10:24 10:23 5:24,false,false
59528,2,7,10,14,8,02_07 07_10 14_10 14_08,23 24 23 24,tuple_edge_416 tuple_edge_1760 tuple_edge_2585 tuple_edge_2041,2:53 7:24 14:23 14:24,7:23 10:24 10:23 8:24,false,false
59532,2,7,10,14,13,02_07 07_10 14_10 14_13,23 24 23 24,tuple_edge_416 tuple_edge_1760 tuple_edge_2585 tuple_edge_3292,2:53 7:24 14:23 14:24,7:23 10:24 10:23 13:24,false,false
59612,2,7,11,9,3,02_07 07_11 09_11 09_03,23 24 23 24,tuple_edge_416 tuple_edge_1761 tuple_edge_2422 tuple_edge_614,2:53 7:24 9:53 9:24,7:23 11:24 11:23 3:24,false,false
59613,2,7,11,9,4,02_07 07_11 09_11 09_04,23 24 23 24,tuple_edge_416 tuple_edge_1761 tuple_edge_2422 tuple_edge_922,2:53 7:24 9:53 9:24,7:23 11:24 11:23 4:24,false,false
59618,2,7,11,9,12,02_07 07_11 09_11 09_12,23 24 23 24,tuple_edge_416 tuple_edge_1761 tuple_edge_2422 tuple_edge_2425,2:53 7:24 9:53 9:54,7:23 11:24 11:23 12:24,false,false
59625,2,7,11,10,5,02_07 07_11 10_11 10_05,23 24 23 24,tuple_edge_416 tuple_edge_1761 tuple_edge_2584 tuple_edge_1204,2:53 7:24 10:23 10:24,7:23 11:24 11:23 5:24,false,false
59631,2,7,11,10,14,02_07 07_11 10_11 10_14,23 24 23 24,tuple_edge_416 tuple_edge_1761 tuple_edge_2584 tuple_edge_2587,2:53 7:24 10:23 10:24,7:23 11:24 11:23 14:24,false,false
59637,2,7,11,12,6,02_07 07_11 12_11 12_06,23 24 23 24,tuple_edge_416 tuple_edge_1761 tuple_edge_2843 tuple_edge_1474,2:53 7:24 12:53 12:24,7:23 11:24 11:23 6:24,false,false
59639,2,7,11,12,9,02_07 07_11 12_11 12_09,23 24 23 24,tuple_edge_416 tuple_edge_1761 tuple_edge_2843 tuple_edge_2309,2:53 7:24 12:53 12:54,7:23 11:24 11:23 9:24,false,false
59641,2,7,11,12,13,02_07 07_11 12_11 12_13,23 24 23 24,tuple_edge_416 tuple_edge_1761 tuple_edge_2843 tuple_edge_3071,2:53 7:24 12:53 12:24,7:23 11:24 11:23 13:24,false,false
60347,2,8,3,4,0,02_08 08_03 04_03 04_00,23 24 23 24,tuple_edge_417 tuple_edge_613 tuple_edge_609 tuple_edge_849,2:53 8:54 4:23 4:54,8:23 3:24 3:23 0:24,false,false
60349,2,8,3,4,5,02_08 08_03 04_03 04_05,23 24 23 24,tuple_edge_417 tuple_edge_613 tuple_edge_609 tuple_edge_1041,2:53 8:54 4:23 4:54,8:23 3:24 3:23 5:24,false,false
60352,2,8,3,4,9,02_08 08_03 04_03 04_09,23 24 23 24,tuple_edge_417 tuple_edge_613 tuple_edge_609 tuple_edge_922,2:53 8:54 4:23 4:24,8:23 3:24 3:23 9:24,false,false
60393,2,8,3,9,4,02_08 08_03 09_03 09_04,23 24 23 24,tuple_edge_417 tuple_edge_613 tuple_edge_611 tuple_edge_922,2:53 8:54 9:23 9:24,8:23 3:24 3:23 4:24,false,false
60398,2,8,3,9,11,02_08 08_03 09_03 09_11,23 24 23 24,tuple_edge_417 tuple_edge_613 tuple_edge_611 tuple_edge_2424,2:53 8:54 9:23 9:54,8:23 3:24 3:23 11:24,false,false
